"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.ConjType","udpipe.feats.Degree","udpipe.feats.Foreign","udpipe.feats.Gender","udpipe.feats.Gender[psor]","udpipe.feats.Hyph","udpipe.feats.Mood","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Number[psor]","udpipe.feats.Person","udpipe.feats.Polarity","udpipe.feats.Poss","udpipe.feats.PrepCase","udpipe.feats.PronType","udpipe.feats.Reflex","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-az","udpipe.misc.B-if","udpipe.misc.B-n_","udpipe.misc.B-pf","udpipe.misc.B-ps","udpipe.misc.B-td","udpipe.misc.B-tm","udpipe.misc.B-ty","udpipe.misc.I-az","udpipe.misc.I-pf","udpipe.misc.I-td","udpipe.misc.I-tm","udpipe.misc.SpaceAfter"
"1","obkladem","obklad","10","O","","","","Inan","","Ins","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","",""
"1","z","z","11","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","pečlivě","pečlivě","12","O","","","","","","","","Pos","","","","","","","","","","","","Pos","","","","","","","","","","","","","","","","","","","","",""
"1","opracovaných","opracovaný","13","O","","","","Inan","","Gen","","Pos","","Masc","","","","","","","Plur","","","Pos","","","","","","","Part","Pass","","","","","","","","","","","","",""
"1","pískovcových","pískovcový","14","O","","","","Inan","","Gen","","Pos","","Masc","","","","","","","Plur","","","Pos","","","","","","","","","","","","","","","","","","","","",""
"1","kvádrů","kvádr","15","O","","","","Inan","","Gen","","","","Masc","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","",""
"1","narezavěle","narezavěle","16","O","","","","","","","","Pos","","","","","","","","","","","","Pos","","","","","","","","","","","","","","","","","","","","",""
"1","Slutého","slutý","17","O","","","","","","Gen","","Pos","","Neut","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","","","","",""
"1","zbarvení","zbarvení","18","O","","","","","","Gen","","","","Neut","","","","","","","Sing","","","","","","","","","","Vnoun","","","","","","","","","","","","","",""
"1","(","(","19","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","foto","foto","20","O","","","","","","Nom","","","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","",""
"1","1","1","21","B-nb","Volu-metric number","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","-","-","22","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","3","3","23","B-nb","Volu-metric number","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",")",")","24","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","25","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Nejvyšší","vysoký","1","O","","","","","","Nom","","Sup","","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","","","","",""
"1","odhalená","odhalený","2","O","","","","","","Nom","","Pos","","Fem","","","","","","","Sing","","","Pos","","","","","","","Part","Pass","","","","","","","","","","","","",""
"1","partie","partie","3","O","","","","","","Nom","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","",""
"1","byla","být","4","O","","","","","Imp","","","","","Fem,Neut","","","","","","","Plur,Sing","","","Pos","","","","","Past","","Part","Act","","","","","","","","","","","","",""
"1","tvořena","tvořený","5","O","","","","","Imp","","","Pos","","Fem,Neut","","","","","","","Plur,Sing","","","Pos","","","","","","Short","Part","Pass","","","","","","","","","","","","",""
"1","čtyřmi","čtyři","6","O","","","","","","Ins","","","","","","","","","Word","Card","Plur","","","","","","","","","","","","","","","","","","","","","","","",""
"1","pískovcovými","pískovcový","7","O","","","","Inan","","Ins","","Pos","","Masc","","","","","","","Plur","","","Pos","","","","","","","","","","","","","","","","","","","","",""
